Stock Code,Company Name
AALI,Astra Agro Lestari Tbk.
ABBA,Mahaka Media Tbk.
ABDA,Asuransi Bina Dana Arta Tbk.
ABMM,ABM Investama Tbk.
ACES,Ace Hardware Indonesia Tbk.
ACST,Acset Indonusa Tbk.
ADES,Akasha Wira International Tbk.
ADHI,Adhi Karya (Persero) Tbk.
ADMF,Adira Dinamika Multi Finance Tbk.
ADMG,Polychem Indonesia Tbk
ADRO,Adaro Energy Tbk.
AGII,Aneka Gas Industri Tbk.
AGRO,Bank Rakyat Indonesia Agroniaga Tbk.
AGRS,Bank Agris Tbk.
AHAP,Asuransi Harta Aman Pratama Tbk.
AIMS,Akbar Indo Makmur Stimec Tbk
AISA,Tiga Pilar Sejahtera Food Tbk.
AKKU,Anugerah Kagum Karya Utama Tbk.
AKPI,Argha Karya Prima Industry Tbk.
AKRA,AKR Corporindo Tbk.
AKSI,Majapahit Inti Corpora Tbk.
ALDO,Alkindo Naratama Tbk.
ALKA,Alakasa Industrindo Tbk
ALMI,Alumindo Light Metal Industry Tbk.
ALTO,Tri Banyan Tirta Tbk.
AMAG,Asuransi Multi Artha Guna Tbk.
AMFG,Asahimas Flat Glass Tbk.
AMIN,Ateliers Mecaniques D Indonesie Tbk.
AMRT,Sumber Alfaria Trijaya Tbk.
ANDI,Andira Agro Tbk.
ANJT,Austindo Nusantara Jaya Tbk.
ANTM,Aneka Tambang Tbk.
APEX,Apexindo Pratama Duta Tbk.
APIC,Pacific Strategic Financial Tbk.
APII,Arita Prima Indonesia Tbk.
APLI,Asiaplast Industries Tbk.
APLN,Agung Podomoro Land Tbk.
APOL,Arpeni Pratama Ocean Line Tbk.
ARGO,Argo Pantes Tbk
ARII,Atlas Resources Tbk.
ARMY,Armidian Karyatama Tbk.
ARNA,Arwana Citramulia Tbk.
ARTA,Arthavest Tbk
ARTI,Ratu Prabu Energi Tbk
ARTO,Bank Artos Indonesia Tbk.
ASBI,Asuransi Bintang Tbk.
ASDM,Asuransi Dayin Mitra Tbk.
ASGR,Astra Graphia Tbk.
ASII,Astra International Tbk.
ASJT,Asuransi Jasa Tania Tbk.
ASMI,Asuransi Kresna Mitra Tbk.
ASRI,Alam Sutera Realty Tbk.
ASRM,Asuransi Ramayana Tbk.
ASSA,Adi Sarana Armada Tbk.
ATIC,Anabatic Technologies Tbk.
ATPK,Bara Jaya Internasional Tbk.
AUTO,Astra Otoparts Tbk.
BABP,Bank MNC Internasional Tbk.
BACA,Bank Capital Indonesia Tbk.
BAJA,Saranacentral Bajatama Tbk.
BALI,Bali Towerindo Sentra Tbk.
BAPA,Bekasi Asri Pemula Tbk.
BATA,Sepatu Bata Tbk.
BAYU,Bayu Buana Tbk
BBCA,Bank Central Asia Tbk.
BBHI,Bank Harda Internasional Tbk.
BBKP,Bank Bukopin Tbk.
BBLD,Buana Finance Tbk.
BBMD,Bank Mestika Dharma Tbk.
BBNI,Bank Negara Indonesia (Persero) Tbk.
BBNP,Bank Nusantara Parahyangan Tbk.
BBRI,Bank Rakyat Indonesia (Persero) Tbk.
BBRM,Pelayaran Nasional Bina Buana Raya Tbk.
BBTN,Bank Tabungan Negara (Persero) Tbk.
BBYB,Bank Yudha Bhakti Tbk.
BCAP,MNC Kapital Indonesia Tbk.
BCIC,Bank JTrust Indonesia Tbk.
BCIP,Bumi Citra Permai Tbk.
BDMN,Bank Danamon Indonesia Tbk.
BEKS,Bank Pembangunan Daerah Banten Tbk.
BELL,Trisula Textile Industries Tbk.
BEST,Bekasi Fajar Industrial Estate Tbk.
BFIN,BFI Finance  Indonesia Tbk.
BGTG,Bank Ganesha Tbk.
BHIT,MNC Investama Tbk.
BIKA,Binakarya Jaya Abadi Tbk.
BIMA,Primarindo Asia Infrastructure Tbk.
BINA,Bank Ina Perdana Tbk.
BIPI,Astrindo Nusantara Infrastruktur Tbk.
BIPP,Bhuwanatala Indah Permai Tbk.
BIRD,Blue Bird Tbk.
BISI,BISI International Tbk.
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.
BKDP,Bukit Darmo Property Tbk
BKSL,Sentul City Tbk.
BKSW,Bank QNB Indonesia Tbk.
BLTA,Berlian Laju Tanker Tbk
BLTZ,Graha Layar Prima Tbk.
BMAS,Bank Maspion Indonesia Tbk.
BMRI,Bank Mandiri (Persero) Tbk.
BMSR,Bintang Mitra Semestaraya Tbk
BMTR,Global Mediacom Tbk.
BNBA,Bank Bumi Arta Tbk.
BNBR,Bakrie & Brothers Tbk
BNGA,Bank CIMB Niaga Tbk.
BNII,Bank Maybank Indonesia Tbk.
BNLI,Bank Permata Tbk.
BOGA,Bintang Oto Global Tbk.
BOLT,Garuda Metalindo Tbk.
BORN,Borneo Lumbung Energi & Metal Tbk.
BOSS,Borneo Olah Sarana Sukses Tbk.
BPFI,Batavia Prosperindo Finance Tbk.
BPII,Batavia Prosperindo Internasional Tbk.
BPTR,Batavia Prosperindo Trans Tbk.
BRAM,Indo Kordsa Tbk.
BRIS,Bank BRIsyariah Tbk.
BRMS,Bumi Resources Minerals Tbk.
BRNA,Berlina Tbk.
BRPT,Barito Pacific Tbk.
BSDE,Bumi Serpong Damai Tbk.
BSIM,Bank Sinarmas Tbk.
BSSR,Baramulti Suksessarana Tbk.
BSWD,Bank Of India Indonesia Tbk.
BTEK,Bumi Teknokultura Unggul Tbk
BTEL,Bakrie Telecom Tbk.
BTON,Betonjaya Manunggal Tbk.
BTPN,Bank Tabungan Pensiunan Nasional Tbk.
BTPS,Bank Tabungan Pensiunan Nasional Syariah Tbk.
BUDI,Budi Starch & Sweetener Tbk.
BUKK,Bukaka Teknik Utama Tbk.
BULL,Buana Lintas Lautan Tbk.
BUMI,Bumi Resources Tbk.
BUVA,Bukit Uluwatu Villa Tbk.
BVIC,Bank Victoria International Tbk.
BWPT,Eagle High Plantations Tbk.
BYAN,Bayan Resources Tbk.
CAKK,Cahayaputra Asa Keramik Tbk.
CAMP,Campina Ice Cream Industry Tbk.
CANI,Capitol Nusantara Indonesia Tbk.
CARS,Industri dan Perdagangan Bintraco Dharma Tbk.
CASA,Capital Financial Indonesia Tbk.
CASS,Cardig Aero Services Tbk.
CEKA,Wilmar Cahaya Indonesia Tbk.
CENT,Centratama Telekomunikasi Indonesia Tbk.
CFIN,Clipan Finance Indonesia Tbk.
CINT,Chitose Internasional Tbk.
CITA,Cita Mineral Investindo Tbk.
CITY,Natura City Developments Tbk.
CKRA,Cakra Mineral Tbk.
CLEO,Sariguna Primatirta Tbk.
CLPI,Colorpak Indonesia Tbk.
CMNP,Citra Marga Nusaphala Persada Tbk.
CMPP,AirAsia Indonesia Tbk.
CNKO,Exploitasi Energi Indonesia Tbk.
CNTB,Saham Seri B ( Centex Tbk )
CNTX,Century Textile Industry Tbk.
COWL,Cowell Development Tbk.
CPIN,Charoen Pokphand Indonesia Tbk
CPRO,Central Proteina Prima Tbk.
CSAP,Catur Sentosa Adiprana Tbk.
CSIS,Cahayasakti Investindo Sukses Tbk.
CTBN,Citra Tubindo Tbk.
CTRA,Ciputra Development Tbk.
CTTH,Citatah Tbk.
DART,Duta Anggada Realty Tbk.
DAYA,Duta Intidaya Tbk.
DEAL,Dewata Freightinternational Tbk.
DEFI,Danasupra Erapacific Tbk
DEWA,Darma Henwa Tbk
DFAM,Dafam Property Indonesia Tbk.
DGIK,Nusa Konstruksi Enjiniring Tbk.
DIGI,Arkadia Digital Media Tbk.
DILD,Intiland Development Tbk.
DIVA,Distribusi Voucher Nusantara Tbk.
DKFT,Central Omega Resources Tbk.
DLTA,Delta Djakarta Tbk.
DMAS,Puradelta Lestari Tbk.
DNAR,Bank Dinar Indonesia Tbk.
DNET,Indoritel Makmur Internasional Tbk.
DOID,Delta Dunia Makmur Tbk.
DPNS,Duta Pertiwi Nusantara Tbk.
DPUM,Dua Putra Utama Makmur Tbk.
DSFI,Dharma Samudera Fishing Industries Tbk.
DSNG,Dharma Satya Nusantara Tbk.
DSSA,Dian Swastatika Sentosa Tbk
DUCK,Jaya Bersama Indo Tbk.
DUTI,Duta Pertiwi Tbk
DVLA,Darya-Varia Laboratoria Tbk.
DWGL,Dwi Guna Laksana Tbk.
DYAN,Dyandra Media International Tbk.
ECII,Electronic City Indonesia Tbk.
EKAD,Ekadharma International Tbk.
ELSA,Elnusa Tbk.
ELTY,Bakrieland Development Tbk.
EMDE,Megapolitan Developments Tbk.
EMTK,Elang Mahkota Teknologi Tbk.
ENRG,Energi Mega Persada Tbk.
EPMT,Enseval Putera Megatrading Tbk.
ERAA,Erajaya Swasembada Tbk.
ERTX,Eratex Djaja Tbk.
ESSA,Surya Esa Perkasa Tbk.
ESTI,Ever Shine Tex Tbk.
ETWA,Eterindo Wahanatama Tbk
EXCL,XL Axiata Tbk.
FAST,Fast Food Indonesia Tbk.
FASW,Fajar Surya Wisesa Tbk.
FILM,MD Pictures Tbk.
FINN,First Indo American Leasing Tbk.
FIRE,Alfa Energi Investama Tbk.
FISH,FKS Multi Agro Tbk.
FMII,Fortune Mate Indonesia Tbk
FORU,Fortune Indonesia Tbk
FORZ,Forza Land Indonesia Tbk.
FPNI,Lotte Chemical Titan Tbk.
FREN,Smartfren Telecom Tbk.
GAMA,Gading Development Tbk.
GDST,Gunawan Dianjaya Steel Tbk.
GDYR,Goodyear Indonesia Tbk.
GEMA,Gema Grahasarana Tbk.
GEMS,Golden Energy Mines Tbk.
GGRM,Gudang Garam Tbk.
GHON,Gihon Telekomunikasi Indonesia Tbk.
GIAA,Garuda Indonesia (Persero) Tbk.
GJTL,Gajah Tunggal Tbk.
GLOB,Global Teleshop Tbk.
GMCW,Grahamas Citrawisata Tbk.
GMFI,Garuda Maintenance Facility Aero Asia Tbk.
GMTD,Gowa Makassar Tourism Development Tbk.
GOLD,Visi Telekomunikasi Infrastruktur Tbk.
GOLL,Golden Plantation Tbk.
GOOD,Garudafood Putra Putri Jaya Tbk.
GPRA,Perdana Gapuraprima Tbk.
GREN,Evergreen Invesco Tbk.
GSMF,Equity Development Investment Tbk.
GTBO,Garda Tujuh Buana Tbk
GWSA,Greenwood Sejahtera Tbk.
GZCO,Gozco Plantations Tbk.
HADE,Himalaya Energi Perkasa Tbk.
HDFA,Radana Bhaskara Finance Tbk.
HDTX,Panasia Indo Resources Tbk.
HEAL,Medikaloka Hermina Tbk.
HELI,Jaya Trishindo Tbk.
HERO,Hero Supermarket Tbk.
HEXA,Hexindo Adiperkasa Tbk.
HITS,Humpuss Intermoda Transportasi Tbk.
HKMU,HK Metals Utama Tbk.
HMSP,H.M. Sampoerna Tbk.
HOKI,Buyung Poetra Sembada Tbk.
HOME,Hotel Mandarine Regency Tbk.
HOTL,Saraswati Griya Lestari Tbk.
HRTA,Hartadinata Abadi Tbk.
HRUM,Harum Energy Tbk.
IATA,Indonesia Transport & Infrastructure Tbk.
IBFN,Intan Baruprana Finance Tbk.
IBST,Inti Bangun Sejahtera Tbk.
ICBP,Indofood CBP Sukses Makmur Tbk.
ICON,Island Concepts Indonesia Tbk.
IDPR,Indonesia Pondasi Raya Tbk.
IGAR,Champion Pacific Indonesia Tbk.
IIKP,Inti Agri Resources Tbk
IKAI,Intikeramik Alamasri Industri Tbk.
IKBI,Sumi Indo Kabel Tbk.
IMAS,Indomobil Sukses Internasional Tbk.
IMJS,Indomobil Multi Jasa Tbk.
IMPC,Impack Pratama Industri Tbk.
INAF,Indofarma Tbk.
INAI,Indal Aluminium Industry Tbk.
INCF,Indo Komoditi Korpora Tbk.
INCI,Intanwijaya Internasional Tbk
INCO,Vale Indonesia Tbk.
INDF,Indofood Sukses Makmur Tbk.
INDR,Indo-Rama Synthetics Tbk.
INDS,Indospring Tbk.
INDX,Tanah Laut Tbk
INDY,Indika Energy Tbk.
INKP,Indah Kiat Pulp & Paper Tbk.
INPC,Bank Artha Graha Internasional Tbk.
INPP,Indonesian Paradise Property Tbk.
INPS,Indah Prakasa Sentosa Tbk.
INRU,Toba Pulp Lestari Tbk.
INTA,Intraco Penta Tbk.
INTD,Inter Delta Tbk
INTP,Indocement Tunggal Prakarsa Tbk.
IPCC,Indonesia Kendaraan Terminal Tbk.
IPCM,Jasa Armada Indonesia Tbk.
IPOL,Indopoly Swakarsa Industry Tbk.
ISAT,Indosat Tbk.
ISSP,Steel Pipe Industry of Indonesia Tbk.
ITMA,Sumber Energi Andalan Tbk.
ITMG,Indo Tambangraya Megah Tbk.
ITTG,Leo Investments Tbk.
JAWA,Jaya Agra Wattie Tbk.
JECC,Jembo Cable Company Tbk.
JGLE,Graha Andrasentra Propertindo Tbk.
JIHD,Jakarta International Hotels & Development Tbk.
JKON,Jaya Konstruksi Manggala Pratama Tbk.
JKSW,Jakarta Kyoei Steel Works Tbk.
JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk.
JPFA,Japfa Comfeed Indonesia Tbk.
JRPT,Jaya Real Property Tbk.
JSKY,Sky Energy Indonesia Tbk.
JSMR,Jasa Marga (Persero) Tbk.
JSPT,Jakarta Setiabudi Internasional Tbk.
JTPE,Jasuindo Tiga Perkasa Tbk.
KAEF,Kimia Farma Tbk.
KARW,ICTSI Jasa Prima Tbk.
KBLI,KMI Wire & Cable Tbk.
KBLM,Kabelindo Murni Tbk.
KBLV,First Media Tbk.
KBRI,Kertas Basuki Rachmat Indonesia Tbk.
KDSI,Kedawung Setia Industrial Tbk.
KIAS,Keramika Indonesia Assosiasi Tbk.
KICI,Kedaung Indah Can Tbk
KIJA,Kawasan Industri Jababeka Tbk.
KINO,Kino Indonesia Tbk.
KIOS,Kioson Komersial Indonesia Tbk.
KKGI,Resource Alam Indonesia Tbk.
KLBF,Kalbe Farma Tbk.
KMTR,Kirana Megatara Tbk.
KOBX,Kobexindo Tractors Tbk.
KOIN,Kokoh Inti Arebama Tbk
KONI,Perdana Bangun Pusaka Tbk
KOPI,Mitra Energi Persada Tbk.
KPAL,Steadfast Marine Tbk.
KPAS,Cottonindo Ariesta Tbk.
KPIG,MNC Land Tbk.
KRAH,Grand Kartech Tbk.
KRAS,Krakatau Steel (Persero) Tbk.
KREN,Kresna Graha Investama Tbk.
LAND,Trimitra Propertindo Tbk.
LAPD,Leyand International Tbk.
LCGP,Eureka Prima Jakarta Tbk.
LCKM,LCK Global Kedaton Tbk.
LEAD,Logindo Samudramakmur Tbk.
LINK,Link Net Tbk.
LION,Lion Metal Works Tbk.
LMAS,Limas Indonesia Makmur Tbk
LMPI,Langgeng Makmur Industri Tbk.
